,TSS,TCS,TPF,Market,Exp,Min Price Rate,RP uncertainty,Markets,Commitment
0,6505587692.952944,6496393548.747056,6505587692.952942,Gavi,1,1,0.1,PAHO-Gavi-AU-Y,0.0
0,1217142573.1744318,1215829524.55863,1217142573.1744313,AU,1,1,0.1,PAHO-Gavi-AU-Y,1.0
0,10761461015.54967,10756073071.491377,10761461015.549667,PAHO,1,1,0.1,PAHO-AU-Gavi-Y,0.0
0,1223482407.3361962,1221584160.952924,1223482407.336196,AU,1,1,0.1,PAHO-AU-Gavi-Y,1.0
0,6478495642.823361,6471507062.098045,6478495642.82336,Gavi,1,1,0.1,PAHO-AU-Gavi-Y,0.0
0,10470920053.716406,10461070488.98173,10470920053.716404,Gavi,1,1,0.1,Gavi-PAHO-AU-Y,0.0
0,2835745638.0076056,2831721110.243448,2835745638.007605,PAHO,1,1,0.1,Gavi-PAHO-AU-Y,0.0
0,1217142573.1744318,1215829524.55863,1217142573.1744313,AU,1,1,0.1,Gavi-PAHO-AU-Y,1.0
0,10470920053.716406,10461070488.98173,10470920053.716404,Gavi,1,1,0.1,Gavi-AU-PAHO-Y,0.0
0,1217142573.1744318,1215706387.9119864,1217142573.1744313,AU,1,1,0.1,Gavi-AU-PAHO-Y,1.0
0,2835745638.0076056,2832686522.179212,2835745638.007605,PAHO,1,1,0.1,Gavi-AU-PAHO-Y,0.0
0,2305115557.4131656,2303094174.3832235,2305115557.4131656,AU,1,1,0.1,AU-Gavi-PAHO-Y,1.0
0,6478495642.823361,6470851641.569402,6478495642.82336,Gavi,1,1,0.1,AU-Gavi-PAHO-Y,0.0
0,2835745638.0076056,2832686522.179212,2835745638.007605,PAHO,1,1,0.1,AU-Gavi-PAHO-Y,0.0
0,2305115557.4131656,2303094174.3832235,2305115557.4131656,AU,1,1,0.1,AU-PAHO-Gavi-Y,1.0
0,2835745638.0076056,2831323105.885144,2835745638.007605,PAHO,1,1,0.1,AU-PAHO-Gavi-Y,0.0
0,6478495642.823361,6471507062.098045,6478495642.82336,Gavi,1,1,0.1,AU-PAHO-Gavi-Y,0.0
0,10632362637.641312,10626974693.583021,10632362637.641312,PAHO,1,2,0.1,PAHO-Gavi-AU-Y,0.0
0,6478495642.823361,6469301498.617474,6478495642.82336,Gavi,1,2,0.1,PAHO-Gavi-AU-Y,0.0
